city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",flood-focused,all_ff,25,9,24.99,0.2678000032901764,16.862,5132.0,363.4,0.032,False
"Minneapolis, MN",flood-focused,all_ff,50,0,25.65,0.3605000078678131,33.725,10264.0,343.7,0.033,False
"Minneapolis, MN",flood-focused,all_ff,50,1,25.65,0.36039999127388,33.725,10264.0,343.7,0.032,False
"Minneapolis, MN",flood-focused,all_ff,50,2,25.65,0.3601999878883362,33.725,10264.0,343.7,0.034,False
"Minneapolis, MN",flood-focused,all_ff,50,3,25.66,0.36039999127388,33.725,10264.0,343.4,0.035,False
"Minneapolis, MN",flood-focused,all_ff,50,4,25.65,0.3603000044822693,33.725,10264.0,343.7,0.035,False
"Minneapolis, MN",flood-focused,all_ff,50,5,25.66,0.3603000044822693,33.725,10264.0,343.4,0.035,False
"Minneapolis, MN",flood-focused,all_ff,50,6,25.65,0.3601999878883362,33.725,10264.0,343.7,0.033,False
"Minneapolis, MN",flood-focused,all_ff,50,7,25.65,0.36010000109672546,33.725,10264.0,343.7,0.032,False
"Minneapolis, MN",flood-focused,all_ff,50,8,25.66,0.3603000044822693,33.725,10264.0,343.4,0.032,False
"Minneapolis, MN",flood-focused,all_ff,50,9,25.65,0.3605000078678131,33.725,10264.0,343.7,0.031,False
"Minneapolis, MN",flood-focused,all_hd,10,0,23.93,0.19089999794960022,0.0,0.0,396.6,0.027,False
"Minneapolis, MN",flood-focused,all_hd,10,1,23.93,0.1906999945640564,0.0,0.0,396.6,0.028,False
"Minneapolis, MN",flood-focused,all_hd,10,2,23.93,0.1907999962568283,0.0,0.0,396.6,0.028,False
"Minneapolis, MN",flood-focused,all_hd,10,3,23.92,0.1907999962568283,0.0,0.0,396.9,0.029,False
"Minneapolis, MN",flood-focused,all_hd,10,4,23.92,0.1906999945640564,0.0,0.0,396.9,0.029,False
"Minneapolis, MN",flood-focused,all_hd,10,5,23.92,0.1907999962568283,0.0,0.0,396.9,0.03,False
"Minneapolis, MN",flood-focused,all_hd,10,6,23.92,0.1906999945640564,0.0,0.0,396.9,0.029,False
